Código USFQ,Código procedencia,Especie,Tipo de muestra,Estado salud animal,observaciones,Fecha colección,Fecha recepción,Semana Epidemiológica,Provincia,Ciudad,Localidad,Nombre_animal,Género,Edad,MÉDICO CONTACTO,Diagnóstico Kit Allplex,Diagnóstico Kit Bioperfectuss/LunaSARS,RT-PCR gen M,Gel amplicon sequencing,Secuenciamiento,run,PB2,PB1,PA,HA,NP,NA,MP,NS,n_regions_assembled,has_8_regions,confirmed_segments,n_confirmed_segments
Flu-0619,BM-23-0442,Aves de corral,Líquido en PBS y Shield,,20.07,2023-01-19,2024-02-20,,COTOPAXI,,,,,,,,,,,AIV(H5N1),21,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0621,BM-23-0445,Aves de corral,Líquido en PBS y Shield,,23.14,2023-01-19,2024-02-20,,COTOPAXI,,,,,,,,,,,AIV(H5N1),22,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0622,BM-23-0446,Aves de corral,Líquido en PBS y Shield,,20.98,2023-01-19,2024-02-20,,COTOPAXI,,,,,,,,,,,AIV(H5N1),21,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0623,BM-23-0447,Aves de corral,Líquido en PBS y Shield,,16.14,2023-01-19,2024-02-20,,COTOPAXI,,,,,,,,,,,AIV(H5N1),22,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0629,BM-24-071,Aves de corral,Líquido en PBS y Shield,,21.13,2024-02-27,2024-02-29,,PASTAZA,,,,,,,,,,,Negativo,22,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0630,BM-23-0449,Aves de corral,Líquido en PBS y Shield,,18.06,2023-01-19,2024-04-23,,COTOPAXI,,,,,,,,,,,AIV(H5N1) 2.3.4.4B,"24,25",SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0631,BM-23-0450,Aves de corral,Líquido en PBS y Shield,,23.56,2023-01-19,2024-04-23,,COTOPAXI,,,,,,,,,,,Negativo,"24,25",,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0632,BM-23-0451,Aves de corral,Líquido en PBS y Shield,,20.49,2023-01-19,2024-04-23,,COTOPAXI,,,,,,,,,,,Negativo,24,,,,,SI,SI,SI,SI,4,,"NP,NA,MP,NS",4
Flu-0633,BM-23-0454,Aves de corral,Líquido en PBS y Shield,,21.02,2023-01-19,2024-04-23,,COTOPAXI,,,,,,,,,,,Negativo,24,SI,SI,SI,,SI,SI,SI,SI,7,,"PB2,PB1,PA,NP,NA,MP,NS",7
Flu-0635,BM-23-0456,Aves de corral,Líquido en PBS y Shield,,25.05,2023-01-19,2024-04-23,,COTOPAXI,,,,,,,,,,,Negativo,25,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0636,BM-23-0459,Aves de corral,Líquido en PBS y Shield,,25.69,2023-01-19,2024-04-23,,COTOPAXI,,,,,,,,,,,Negativo,25,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0638,BM-23-0533,Aves de corral,Líquido en PBS y Shield,,23.25,2023-01-20,2024-04-23,,TUNGURAHUA,,,,,,,,,,,AIV(H5N1) 2.3.4.4B,24,,,,SI,SI,SI,SI,SI,5,,"HA,NP,NA,MP,NS",5
Flu-0639,BM-23-0534,Aves de corral,Líquido en PBS y Shield,,24.18,2023-01-20,2024-04-23,,TUNGURAHUA,,,,,,,,,,,AIV(H5N1)  2.3.4.4B,24,SI,SI,,SI,SI,,SI,SI,6,,"PB2,PB1,HA,NP,MP,NS",6
Flu-0640,BM-23-0536,Aves de corral,Líquido en PBS y Shield,,26.96,2023-01-20,2024-04-23,,TUNGURAHUA,,,,,,,,,,,Negativo,24,,,,, ,,SI,SI,2,,"MP,NS",2
Flu-0641,BM-23-0537,Aves de corral,Líquido en PBS y Shield,,24.22,2023-01-20,2024-04-23,,TUNGURAHUA,,,,,,,,,,,AIV(H5N1)  2.3.4.4B,24,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0642,BM-23-0570,Aves de corral,Líquido en PBS y Shield,,20.95,2023-01-24,2024-04-23,,TUNGURAHUA,,,,,,,,,,,Negativo,25,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0643,BM-23-0571,Aves de corral,Líquido en PBS y Shield,,27.59,2023-01-24,2024-04-23,,TUNGURAHUA,,,,,,,,,,,Negativo,25,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0652,BM-23-1400,Aves de corral,Líquido en PBS y Shield,,20.77,2023-02-19,2024-04-23,,AZUAY,,,,,,,,,,,AIV(H5N1)  2.3.4.4B,24,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0653,BM-23-1401,Aves de corral,Líquido en PBS y Shield,,20.51,2023-02-19,2024-04-23,,AZUAY,,,,,,,,,,,AIV(H5N1)  2.3.4.4B,"24,25",SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0654,BM-23-1402,Aves de corral,Líquido en PBS y Shield,,21.78,2023-02-19,2024-04-23,,AZUAY,,,,,,,,,,,AIV(H5N1),24,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0655,BM-23-1593,Aves de corral,Líquido en PBS y Shield,,24.21,2023-02-27,2024-04-23,,COTOPAXI,,,,,,,,,,,Negativo,25,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0656,BM-23-1594,Aves de corral,Líquido en PBS y Shield,,28.06,2023-02-27,2024-04-23,,COTOPAXI,,,,,,,,,,,Negativo,25,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0658,BM-23-2136,Aves de corral,Líquido en PBS y Shield,,20.39,2023-03-22,2024-04-23,,PASTAZA,,,,,,,,,,,AIV(H5N1) 2.3.4.4B,24,SI,SI,SI,,SI,SI,SI,SI,7,,"PB2,PB1,PA,NP,NA,MP,NS",7
Flu-0663,BM-23-2350,Aves de corral,Líquido en PBS y Shield,,26.89,2023-04-02,2024-04-23,,NAPO,,,,,,,,,,,Negativo,24,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0679,Oral #3,Condor,Hisopado laringotraqueal,,,2025-02-05,2025-02-19,,IMBABURA,,,,,,,,,Positivo,,H1N1,"26,agro",,,,,,,SI,SI,2,,"MP,NS",2
Flu-0680,,Condor,Hisopado laringotraqueal,,,2025-02-05,2025-02-19,,IMBABURA,,,Curi,,,,,,Positivo,,H1N1,26,,,,,,,SI,SI,2,,"MP,NS",2
Flu-0688,,Condor,Hisopado laringotraqueal,,,2025-02-05,2025-02-19,,IMBABURA,,,Pimampiro,,,,,,Positivo,,H1N1,26,,,,,,,SI,SI,2,,"MP,NS",2
Flu-0692,SIV-37,,,,Muestras de Sully,,,,,,,,,,,,,Positivo,sully,H1N1,26,,,,,SI,SI,SI,SI,4,,"NP,NA,MP,NS",4
Flu-0693,SIV-20,,,,Muestras de Sully,,,,,,,,,,,,,Positivo,,H1N1,26,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0694,SN-38,,,,Muestras de Sully,,,,,,,,,,,,,Positivo,sully,H1N1,26,SI,,SI,SI,SI,SI,SI,SI,7,,"PB2,PA,HA,NP,NA,MP,NS",7
Flu-0711,SP-CB-8,Gallinazo,Hisopado laringotraqueal,,,,2025-02-19,,IMBABURA,,,,,,,,,Negativo,,H1N1,26,,,,,SI,SI,SI,SI,4,,"NP,NA,MP,NS",4
Flu-0713,Condor 1 Zoo,Condor,Hisopado cloacal,,,2025-02-24,2025-02-26,,PICHINCHA,Quito,Zoo Quito,Toa,,,,,,Negativo,,H1N1,26,,,,,,,SI,,1,,MP,1
Flu-0714,Condor 1 Zoo,Condor,Hisopado laringotraqueal,,,2025-02-24,2025-02-26,,PICHINCHA,Quito,Zoo Quito,Toa,,,,,,Negativo,,H1N1,26,,,,,,,SI,SI,2,,"MP,NS",2
Flu-0715,Condor 3 Zoo,Condor,Hisopado laringotraqueal,,,2025-02-24,2025-02-26,,PICHINCHA,Quito,Zoo Quito,Kayambi,,,,,,Negativo,,H1N1,26,,,,,,,SI,,1,,MP,1
Flu-0716,Condor 3 Zoo,Condor,Hisopado cloacal,,,2025-02-24,2025-02-26,,PICHINCHA,Quito,Zoo Quito,Kayambi,,,,,,Negativo,,H1N1,26,,,,,,,SI,,1,,MP,1
Flu-0717,Condor 4 Zoo,Condor,Hisopado laringotraqueal,,,2025-02-24,2025-02-26,,PICHINCHA,Quito,Zoo Quito,Chitacnaca,,,,,,Negativo,,H1N1,26,,,,,,,SI,,1,,MP,1
Flu-0736,BM-A-23-983,Aves de corral,Líquido en PBS y Shield,,21.38,2023-07-28,2025-02-26,,COTOPAXI,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,agro,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0738,BM-A-23-986,Aves de corral,Líquido en PBS y Shield,,31.36,2023-07-28,2025-02-26,,COTOPAXI,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,agro,,,,,,,SI,SI,2,,"MP,NS",2
Flu-0739,BM-A-23-1149,Aves de corral,Líquido en PBS y Shield,,26.45,2023-08-17,2025-02-26,,GUAYAS,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,agro,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0735,BM-A-23-927,Aves de corral,Líquido en PBS y Shield,,28.72,2023-07-24,2025-02-26,,TUNGURAHUA,,,,,,,,,,,,agro,,,,,,,,SI,1,,NS,1
Flu-0737,BM-A-23-984,Aves de corral,Líquido en PBS y Shield,,20.69,2023-07-28,2025-02-26,,COTOPAXI,,,,,,,,,,,,agro,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0740,BM-A-24-068,Aves de corral,Líquido en PBS y Shield,,31.43,2024-02-27,2025-02-26,,PASTAZA,,,,,,,,,,,,agro,,,,,,,SI,,1,,MP,1
Flu-0741,BM-A-24-070,Aves de corral,Líquido en PBS y Shield,,21.15,2024-02-27,2025-02-26,,PASTAZA,,,,,,,,,,,,agro,,,,,,,SI,SI,2,,"MP,NS",2
Flu-0742,BM-A-24-071,Aves de corral,Líquido en PBS y Shield,,28.03,2024-02-27,2025-02-26,,PASTAZA,,,,,,,,,,,,agro,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
