file_name,host,collection_date,country,expected_role
EPI_ISL_19158330,Canada_goose,2022-05-04,USA,american_anchor
EPI_ISL_19158328,Canada_goose,2022-05-05,USA,american_anchor
EPI_ISL_16555205,Canada_goose,2022-07-05,USA,american_anchor
EPI_ISL_18698504,Chicken,2023-03-16,Argentina,regional_context
EPI_ISL_18698505,Chicken,2023-03-21,Argentina,regional_context
EPI_ISL_18698506,Chicken,2023-03-27,Argentina,regional_context
EPI_ISL_18698507,Chicken,2023-03-31,Argentina,regional_context
EPI_ISL_18698509,Chicken,2023-04-03,Argentina,regional_context
EPI_ISL_18698510,Chicken,2023-04-03,Argentina,regional_context
EPI_ISL_18698719,Chicken,2023-04-10,Argentina,regional_context
EPI_ISL_18698511,Chicken,2023-04-12,Argentina,regional_context
EPI_ISL_18698512,Chicken,2023-04-19,Argentina,regional_context
EPI_ISL_18698518,Chicken,2023-05-01,Argentina,regional_context
EPI_ISL_18698519,Chicken,2023-05-04,Argentina,regional_context
EPI_ISL_18698732,Chicken,2023-05-03,Argentina,regional_context
EPI_ISL_18698520,Chicken,2023-05-05,Argentina,regional_context
EPI_ISL_18698521,Chicken,2023-05-08,Argentina,regional_context
EPI_ISL_18698522,Chicken,2023-05-08,Argentina,regional_context
EPI_ISL_20386297,Chicken,2025-07-31,Argentina,regional_context
EPI_ISL_20386298,Chicken,2025-07-31,Argentina,regional_context
EPI_ISL_20386299,Chicken,2025-07-31,Argentina,regional_context
EPI_ISL_20386300,Chicken,2025-07-31,Argentina,regional_context
EPI_ISL_20386301,Chicken,2025-07-31,Argentina,regional_context
EPI_ISL_20386303,Chicken,2025-08-12,Argentina,regional_context
EPI_ISL_20386304,Chicken,2025-08-18,Argentina,regional_context
EPI_ISL_20386305,Chicken,2025-08-18,Argentina,regional_context
EPI_ISL_20386306,Chicken,2025-08-18,Argentina,regional_context
EPI_ISL_20386307,Chicken,2025-08-18,Argentina,regional_context
EPI_ISL_20386308,Chicken,2025-08-18,Argentina,regional_context
EPI_ISL_20386309,Chicken,2025-08-30,Argentina,regional_context
EPI_ISL_20386310,Chicken,2025-08-30,Argentina,regional_context
EPI_ISL_20386311,Chicken,2025-10-06,Argentina,regional_context
EPI_ISL_20386312,Chicken,2025-10-06,Argentina,regional_context
EPI_ISL_20386314,Chicken,2025-10-06,Argentina,regional_context
EPI_ISL_20386313,Chicken,2025-10-06,Argentina,regional_context
EPI_ISL_18698524,Chicken,2023-05-18,Argentina,regional_context
EPI_ISL_18698525,Chicken,2023-05-18,Argentina,regional_context
EPI_ISL_18698526,Chicken,2023-05-29,Argentina,regional_context
EPI_ISL_18698527,Chicken,2023-06-13,Argentina,regional_context
EPI_ISL_20386295,Chicken,2025-07-14,Argentina,regional_context
EPI_ISL_20386296,Chicken,2025-07-14,Argentina,regional_context
EPI_ISL_18698528,Chicken,2023-07-06,Argentina,regional_context
EPI_ISL_18698529,Chicken,2023-07-26,Argentina,regional_context
EPI_ISL_18698530,Chicken,2023-07-27,Argentina,regional_context
EPI_ISL_18698460,Chicken,2023-02-16,Argentina,regional_context
EPI_ISL_18698462,Chicken,2023-02-18,Argentina,regional_context
EPI_ISL_18698464,Chicken,2023-02-18,Argentina,regional_context
EPI_ISL_18698466,Chicken,2023-02-19,Argentina,regional_context
EPI_ISL_18698469,Chicken,2023-02-20,Argentina,regional_context
EPI_ISL_18698471,Chicken,2023-02-20,Argentina,regional_context
EPI_ISL_18698474,Chicken,2023-02-20,Argentina,regional_context
EPI_ISL_18698476,Chicken,2023-02-21,Argentina,regional_context
EPI_ISL_19823063,Chicken,2025-02-25,Argentina,regional_context
EPI_ISL_19823060,Chicken,2025-02-25,Argentina,regional_context
EPI_ISL_19823064,Chicken,2025-02-25,Argentina,regional_context
EPI_ISL_19823067,Chicken,2025-02-25,Argentina,regional_context
EPI_ISL_19823061,Chicken,2025-02-25,Argentina,regional_context
EPI_ISL_19823062,Chicken,2025-02-25,Argentina,regional_context
EPI_ISL_19823068,Chicken,2025-02-25,Argentina,regional_context
EPI_ISL_18698478,Chicken,2023-02-23,Argentina,regional_context
EPI_ISL_18698480,Chicken,2023-02-22,Argentina,regional_context
EPI_ISL_18698482,Chicken,2023-02-23,Argentina,regional_context
EPI_ISL_18698490,Chicken,2023-02-24,Argentina,regional_context
EPI_ISL_18698492,Chicken,2023-02-27,Argentina,regional_context
EPI_ISL_18698494,Chicken,2023-03-03,Argentina,regional_context
EPI_ISL_18698730,Chicken,2023-03-04,Argentina,regional_context
EPI_ISL_18698499,Chicken,2023-03-08,Argentina,regional_context
EPI_ISL_18698731,Chicken,2023-03-09,Argentina,regional_context
EPI_ISL_18698502,Chicken,2023-03-13,Argentina,regional_context
EPI_ISL_20180388,Chicken,2025-09-02,Bolivia,regional_context
EPI_ISL_20442654,Chicken,2026-03-19,Chile,regional_context
EPI_ISL_20442685,Chicken,2026-03-21,Chile,regional_context
EPI_ISL_20442901,Chicken,2026-03-24,Chile,regional_context
EPI_ISL_20443474,Chicken,2026-03-27,Chile,regional_context
EPI_ISL_20443476,Chicken,2026-03-31,Chile,regional_context
EPI_ISL_20374016,Chile,2023-03-24,Chile,regional_context
EPI_ISL_17885965,Chiloe_wigeon,2023-03-09,Chile,regional_context
EPI_ISL_18133359,Common_Goldeneye,2022-03-31,USA,american_anchor
EPI_ISL_18931273,Coragyps_atratus,2022-12-23,Venezuela,regional_context
EPI_ISL_20454277,Coscoroba_coscoroba,2026-02-22,Uruguay,regional_context
EPI_ISL_20454279,Coscoroba_coscoroba,2026-02-27,Uruguay,regional_context
EPI_ISL_20454278,Coscoroba_coscoroba,2026-03-01,Uruguay,regional_context
EPI_ISL_20454280,Coscoroba_coscoroba,2026-03-05,USA,american_anchor
EPI_ISL_20454284,Coscoroba_coscoroba,2026-03-03,Uruguay,regional_context
EPI_ISL_20454282,Coscoroba_coscoroba,2026-02-23,Uruguay,regional_context
EPI_ISL_20454283,Coscoroba_coscoroba,2026-02-18,Uruguay,regional_context
EPI_ISL_20444462,Curlew,2023-11-10,Chile,regional_context
EPI_ISL_20369940,Cygnus_atratus,2025-05-25,Brazil,regional_context
EPI_ISL_20369963,Cygnus_atratus,2025-05-25,Brazil,regional_context
EPI_ISL_20369803,Cygnus_atratus,2025-05-15,Brazil,regional_context
EPI_ISL_20454281,Cygnus_melancoryphus,2026-02-26,Uruguay,regional_context
EPI_ISL_20369892,Cygnus_melancoryphus,2025-05-15,Brazil,regional_context
EPI_ISL_20370708,Dendrocygna_viduata,2025-06-03,Brazil,regional_context
EPI_ISL_20370756,Dendrocygna_viduata,2025-06-27,Brazil,regional_context
EPI_ISL_20100727,Dendrocygna_viduata,2025-06-20,Brazil,regional_context
EPI_ISL_20370723,Dromaius_novaehollandiae,2025-06-14,Brazil,regional_context
EPI_ISL_18698515,Duck,2023-04-19,Argentina,regional_context
EPI_ISL_18698523,Duck,2023-05-11,Argentina,regional_context
EPI_ISL_19823059,Duck,2025-02-25,Argentina,regional_context
EPI_ISL_20444463,Duck,2023-03-07,Chile,regional_context
EPI_ISL_20444464,Duck,2023-04-12,Chile,regional_context
EPI_ISL_20444465,Duck,2023-04-12,Chile,regional_context
EPI_ISL_20444466,Duck,2023-05-09,Chile,regional_context
EPI_ISL_20442735,Duck,2026-03-23,Chile,regional_context
EPI_ISL_17885955,Elegant_tern,2022-12-24,Chile,regional_context
EPI_ISL_17885953,Elegant_tern,2022-12-23,Chile,regional_context
EPI_ISL_18939722,Franklin's_gull,2023-02-12,Chile,regional_context
EPI_ISL_19162729,Franklin_gull,2023-02-12,Chile,regional_context
EPI_ISL_20370011,Furnarius_rufus,2025-05-28,Brazil,regional_context
EPI_ISL_18133470,Gadwall,2022-01-30,USA,american_anchor
EPI_ISL_18133461,Gadwall,2022-01-08,USA,american_anchor
EPI_ISL_18133449,Gadwall,2022-01-08,USA,american_anchor
EPI_ISL_18133445,Gadwall,2022-01-15,USA,american_anchor
EPI_ISL_18133441,Gadwall,2022-01-22,USA,american_anchor
EPI_ISL_18133429,Gadwall,2022-01-06,USA,american_anchor
EPI_ISL_18133425,Gadwall,2022-01-06,USA,american_anchor
EPI_ISL_20370172,Gallus_gallus,2025-06-07,Brazil,regional_context
EPI_ISL_19215176,Gallus_gallus,2023-09-22,Brazil,regional_context
EPI_ISL_20370823,Gallus_gallus,2025-07-23,Brazil,regional_context
EPI_ISL_20369893,Gallus_gallus,2025-05-15,Brazil,regional_context
EPI_ISL_20370791,Gallus_gallus,2025-07-17,Brazil,regional_context
EPI_ISL_20370746,Gallus_gallus,2025-06-13,Brazil,regional_context
EPI_ISL_20267521,Gallus_gallus,2025-06-13,Brazil,regional_context
EPI_ISL_20370752,Gallus_gallus,2025-07-11,Brazil,regional_context
EPI_ISL_20267522,Gallus_gallus,2025-07-11,Brazil,regional_context
EPI_ISL_18698459,Goose,2023-02-11,Argentina,regional_context
EPI_ISL_17885951,Gray_gull,2023-01-18,Chile,regional_context
EPI_ISL_16190849,Great_Black-Backed_Gull,2021-11-04,Netherlands,regional_context
EPI_ISL_18133437,Great_Blue_Heron,2022-02-27,USA,american_anchor
EPI_ISL_18133482,Great_Horned_Owl,2022-02-28,USA,american_anchor
EPI_ISL_18133525,Great_Horned_Owl,2022-02-24,USA,american_anchor
EPI_ISL_18133523,Great_Horned_Owl,2022-02-25,USA,american_anchor
EPI_ISL_18133527,Great_Horned_Owl,2022-04-03,USA,american_anchor
EPI_ISL_18133505,Great_Horned_Owl,2022-03-31,USA,american_anchor
EPI_ISL_18133436,Great_Horned_Owl,2022-04-18,USA,american_anchor
EPI_ISL_18133415,Great_Horned_Owl,2022-04-25,USA,american_anchor
EPI_ISL_18133409,Great_Horned_Owl,2022-04-22,USA,american_anchor
EPI_ISL_18133448,Great_Horned_Owl,2022-04-01,USA,american_anchor
EPI_ISL_18133460,Great_Horned_Owl,2022-04-11,USA,american_anchor
EPI_ISL_18133510,Great_Horned_Owl,2022-04-21,USA,american_anchor
EPI_ISL_18133506,Great_Horned_Owl,2022-03-18,USA,american_anchor
EPI_ISL_17885950,Great_egret,2023-03-07,Chile,regional_context
EPI_ISL_19162730,Great_grabe,2023-01-09,Chile,regional_context
EPI_ISL_19162731,Great_grabe,2023-01-09,Chile,regional_context
EPI_ISL_18133483,Greater_White-fronted_Goose,2022-04-06,USA,american_anchor
EPI_ISL_18133477,Green-winged_Teal,2022-01-29,USA,american_anchor
EPI_ISL_18133475,Green-winged_Teal,2022-01-29,USA,american_anchor
EPI_ISL_18133472,Green-winged_Teal,2022-01-29,USA,american_anchor
EPI_ISL_18133469,Green-winged_Teal,2022-01-29,USA,american_anchor
EPI_ISL_18133466,Green-winged_Teal,2022-01-29,USA,american_anchor
EPI_ISL_18133463,Green-winged_Teal,2022-01-31,USA,american_anchor
EPI_ISL_19391460,Guanay_cormorant,2023-03-01,Chile,regional_context
EPI_ISL_18265434,Guanay_cormorant,2022-11-24,Peru,regional_context
EPI_ISL_18371665,Guanay_cormorant,2022-12-01,Peru,regional_context
EPI_ISL_18133331,Guineafowl,2022-03-09,USA,american_anchor
EPI_ISL_17011964,Gull,2022-12-07,Chile,regional_context
EPI_ISL_17011958,Gull,2022-12-07,Chile,regional_context
EPI_ISL_20444470,Gull,2023-04-21,Chile,regional_context
EPI_ISL_20444469,Gull,2023-08-27,Chile,regional_context
EPI_ISL_20444468,Gull,2023-09-14,Chile,regional_context
EPI_ISL_20444467,Gull,2023-09-25,Chile,regional_context
EPI_ISL_18133300,Herring_Gull,2022-04-14,USA,american_anchor
EPI_ISL_18133269,Hooded_Merganser,2022-02-28,USA,american_anchor
EPI_ISL_18133202,Hooded_Merganser,2022-04-04,USA,american_anchor
EPI_ISL_18760066,Humboldt_penguin,2023-02-05,Chile,regional_context
EPI_ISL_17885948,Humboldt_penguin,2023-02-28,Chile,regional_context
EPI_ISL_19131156,Inca_tern,2023-02-22,Chile,regional_context
EPI_ISL_19131159,Inca_tern,2022-12-12,Chile,regional_context
EPI_ISL_19131162,Inca_tern,2023-03-01,Chile,regional_context
EPI_ISL_17885972,Kelp_gull,2023-03-01,Chile,regional_context
EPI_ISL_20359535,Larus_belcheri,2022-12-16,Peru,regional_context
EPI_ISL_18133273,Lesser_Scaup,2022-02-08,USA,american_anchor
EPI_ISL_18133242,Lesser_Scaup,2022-02-24,USA,american_anchor
EPI_ISL_18133228,Lesser_Scaup,2022-02-24,USA,american_anchor
EPI_ISL_18133218,Lesser_Scaup,2022-03-18,USA,american_anchor
EPI_ISL_18133214,Lesser_Snow_Goose_Blue,2022-03-14,USA,american_anchor
EPI_ISL_18133210,Lesser_Snow_Goose_Blue,2022-03-14,USA,american_anchor
EPI_ISL_15614805,Lesser_scaup,2022-01-23,USA,american_anchor
EPI_ISL_18133145,Mallard,2022-02-03,USA,american_anchor
EPI_ISL_18133141,Mallard,2022-02-03,USA,american_anchor
EPI_ISL_18133268,Mallard,2022-02-03,USA,american_anchor
EPI_ISL_18133249,Mallard,2022-01-26,USA,american_anchor
EPI_ISL_18133245,Mallard,2022-01-26,USA,american_anchor
EPI_ISL_18133241,Mallard,2022-01-26,USA,american_anchor
EPI_ISL_18133237,Mallard,2022-01-26,USA,american_anchor
EPI_ISL_18133233,Mallard,2022-01-26,USA,american_anchor
EPI_ISL_18133253,Mallard,2022-02-07,USA,american_anchor
EPI_ISL_18133220,Mallard,2022-02-07,USA,american_anchor
EPI_ISL_18133196,Mallard,2022-02-01,USA,american_anchor
EPI_ISL_18133192,Mallard,2022-02-01,USA,american_anchor
EPI_ISL_18133285,Mallard,2022-03-09,USA,american_anchor
EPI_ISL_19215177,Megascops_choliba,2023-05-26,Brazil,regional_context
EPI_ISL_18133332,Merganser,2022-03-22,USA,american_anchor
EPI_ISL_18133323,Mergus,2022-04-07,USA,american_anchor
EPI_ISL_19765465,Nasua_nasua,2023-05-04,Uruguay,regional_context
EPI_ISL_19765475,Nasua_nasua,2023-05-04,Uruguay,regional_context
EPI_ISL_19765485,Nasua_nasua,2023-05-05,Uruguay,regional_context
EPI_ISL_18132370,Northern_Shoveler,2022-01-31,USA,american_anchor
EPI_ISL_18132366,Northern_Shoveler,2022-01-08,USA,american_anchor
EPI_ISL_20267523,Numida_meleagris,2025-07-22,Brazil,regional_context
EPI_ISL_20370822,Numida_meleagris,2025-07-22,Brazil,regional_context
EPI_ISL_19215178,Numida_meleagris,2023-09-15,Brazil,regional_context
EPI_ISL_19215179,Otaria_flavescens,2023-10-03,Brazil,regional_context
EPI_ISL_19215180,Otaria_flavescens,2023-10-11,Brazil,regional_context
EPI_ISL_20443759,Other_Avian,2026-03-25,Chile,regional_context
EPI_ISL_18132354,Owl,2022-04-26,USA,american_anchor
EPI_ISL_18132350,Parrot,2022-04-04,USA,american_anchor
EPI_ISL_16171480,Pekin_duck,2022-04-28,USA,american_anchor
EPI_ISL_17099964,Pelecanus,2022-12-01,Peru,regional_context
EPI_ISL_16854397,Pelecanus_occidentalis,2022-11-25,Venezuela,regional_context
EPI_ISL_16854405,Pelecanus_occidentalis,2022-11-25,Venezuela,regional_context
EPI_ISL_18909019,Pelecanus_occidentalis,2022-12-07,Venezuela,regional_context
EPI_ISL_18931240,Pelecanus_occidentalis,2022-12-12,Venezuela,regional_context
EPI_ISL_18931241,Pelecanus_occidentalis,2022-12-12,Venezuela,regional_context
EPI_ISL_16701840,Pelecanus_occidentalis,2022-12-15,Venezuela,regional_context
EPI_ISL_18931268,Pelecanus_occidentalis,2022-12-15,Venezuela,regional_context
EPI_ISL_18931269,Pelecanus_occidentalis,2022-12-19,Venezuela,regional_context
EPI_ISL_18931270,Pelecanus_occidentalis,2022-12-19,Venezuela,regional_context
EPI_ISL_18931271,Pelecanus_occidentalis,2022-12-20,Venezuela,regional_context
EPI_ISL_18931272,Pelecanus_occidentalis,2022-12-23,Venezuela,regional_context
EPI_ISL_18931239,Pelecanus_occidentalis,2022-12-07,Venezuela,regional_context
EPI_ISL_18931274,Pelecanus_occidentalis,2023-01-11,Venezuela,regional_context
EPI_ISL_18931275,Pelecanus_occidentalis,2023-01-11,Venezuela,regional_context
EPI_ISL_18931276,Pelecanus_occidentalis,2023-01-27,Venezuela,regional_context
EPI_ISL_20359517,Pelecanus_thagus,2022-12-11,Peru,regional_context
EPI_ISL_19781426,Pelecanus_thagus,2023-02-10,Peru,regional_context
EPI_ISL_17885944,Pelican,2022-12-16,Chile,regional_context
EPI_ISL_17885934,Pelican,2022-12-15,Chile,regional_context
EPI_ISL_17885931,Pelican,2022-12-15,Chile,regional_context
EPI_ISL_17885929,Pelican,2022-12-18,Chile,regional_context
EPI_ISL_17885927,Pelican,2022-12-22,Chile,regional_context
EPI_ISL_17885926,Pelican,2022-12-26,Chile,regional_context
EPI_ISL_17885925,Pelican,2022-12-30,Chile,regional_context
EPI_ISL_17885924,Pelican,2022-12-30,Chile,regional_context
EPI_ISL_17050893,Pelican,2022-12-07,Chile,regional_context
EPI_ISL_17011962,Pelican,2022-12-05,Chile,regional_context
EPI_ISL_17011961,Pelican,2022-12-05,Chile,regional_context
EPI_ISL_17011963,Pelican,2022-12-06,Chile,regional_context
EPI_ISL_17011956,Pelican,2022-12-06,Chile,regional_context
EPI_ISL_17011957,Pelican,2022-12-06,Chile,regional_context
EPI_ISL_17011959,Pelican,2022-12-06,Chile,regional_context
EPI_ISL_17012018,Pelican,2022-12-07,Chile,regional_context
EPI_ISL_17885923,Pelican,2023-01-02,Chile,regional_context
EPI_ISL_17885922,Pelican,2023-01-14,Chile,regional_context
EPI_ISL_17885921,Pelican,2023-01-09,Chile,regional_context
EPI_ISL_18132424,Pelican,2022-03-01,USA,american_anchor
EPI_ISL_17885918,Pelican,2023-01-26,Chile,regional_context
EPI_ISL_17885915,Pelican,2023-01-24,Chile,regional_context
EPI_ISL_17885912,Pelican,2023-01-24,Chile,regional_context
EPI_ISL_17885942,Pelican,2022-12-09,Chile,regional_context
EPI_ISL_16631973,Pelican,2022-12-12,Venezuela,regional_context
EPI_ISL_16013752,Pelican,2022-11-25,Venezuela,regional_context
EPI_ISL_16013753,Pelican,2022-11-25,Venezuela,regional_context
EPI_ISL_19139974,Peruvean_booby,2023-01-03,Chile,regional_context
EPI_ISL_19162636,Peruvean_booby,2023-01-31,Chile,regional_context
EPI_ISL_19131163,Peruvean_booby,2023-02-24,Chile,regional_context
EPI_ISL_18690723,Peruvian_booby,2023-02-10,Chile,regional_context
EPI_ISL_19131164,Peruvian_booby,2023-01-03,Chile,regional_context
EPI_ISL_19131165,Peruvian_booby,2023-01-31,Chile,regional_context
EPI_ISL_18760067,Peruvian_booby,2023-03-17,Chile,regional_context
EPI_ISL_18371666,Peruvian_booby,2022-12-01,Peru,regional_context
EPI_ISL_20359491,Phalacrocorax_bougainvillii,2023-02-20,Peru,regional_context
EPI_ISL_20359497,Phalacrocorax_bougainvillii,2023-02-20,Peru,regional_context
EPI_ISL_20359498,Phalacrocorax_bougainvillii,2023-02-20,Peru,regional_context
EPI_ISL_19215181,Pluvialis_dominica,2023-11-08,Brazil,regional_context
EPI_ISL_19215182,Procellaria_aequinoctialis,2023-11-09,Brazil,regional_context
EPI_ISL_19215190,Procellaria_aequinoctialis,2023-11-10,Brazil,regional_context
EPI_ISL_18132448,Red-shouldered_Hawk,2022-02-01,USA,american_anchor
EPI_ISL_18132384,Red-tailed_Hawk,2022-03-30,USA,american_anchor
EPI_ISL_18132396,Red-tailed_Hawk,2022-04-08,USA,american_anchor
EPI_ISL_18132420,Red-tailed_Hawk,2022-04-22,USA,american_anchor
EPI_ISL_18132466,Ring-necked_Duck,2022-03-23,USA,american_anchor
EPI_ISL_18132458,Ring-necked_Duck,2022-03-11,USA,american_anchor
EPI_ISL_19605616,Ring-necked_pheasant,2022-04-20,USA,american_anchor
EPI_ISL_18132450,Ross's_Goose,2022-03-18,USA,american_anchor
EPI_ISL_18132438,Ross's_Goose,2022-03-08,USA,american_anchor
EPI_ISL_18132428,Ross's_Goose,2022-03-12,USA,american_anchor
EPI_ISL_18132414,Ross's_Goose,2022-02-22,USA,american_anchor
EPI_ISL_18132476,Ross's_Goose,2022-03-23,USA,american_anchor
EPI_ISL_18132542,Ross's_Goose,2022-03-22,USA,american_anchor
EPI_ISL_18132539,Ross's_Goose,2022-03-25,USA,american_anchor
EPI_ISL_18132520,Ross's_Goose,2022-04-01,USA,american_anchor
EPI_ISL_18132498,Ross's_Goose,2022-04-01,USA,american_anchor
EPI_ISL_18132490,Ross's_Goose,2022-04-05,USA,american_anchor
EPI_ISL_18132407,Royal_Tern,2022-02-18,USA,american_anchor
EPI_ISL_18132399,Royal_Tern,2022-03-16,USA,american_anchor
EPI_ISL_19158227,Sabine's_gull,2022-06-06,USA,american_anchor
EPI_ISL_19158226,Sabine's_gull,2022-06-06,USA,american_anchor
EPI_ISL_17885980,Sanderling,2022-12-30,Chile,regional_context
EPI_ISL_17885978,Sanderling,2023-03-03,Chile,regional_context
EPI_ISL_19404931,Sanderling,2023-03-17,Chile,regional_context
EPI_ISL_18132518,Sanderling,2022-03-04,USA,american_anchor
EPI_ISL_18132515,Sanderling,2022-02-21,USA,american_anchor
