metric	n_taxa_flagged
high_n_fraction	2
high_ambiguous_fraction	0
short_ungapped_length	0
high_consensus_distance_after	4
consensus_distance_increase	0
high_private_insertion_burden_after	0
private_insertion_burden_increase	0
high_singleton_substitution_burden_after	4
atypical_internal_gap_shift	0
ungapped_sequence_changed	0
any_outlier_flag	10
n_taxa_total	62
before_alignment_length	14933
after_alignment_length	14223
