Taxon	Date	Latitude	Longitude	Location	Host
EPI_ISL_20450095	2023-01-07	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_20450096	2023-10-31	-1.3397668	-79.3666965	ecuador_coastal	wild bird
EPI_ISL_20450099	2023-12-06	-1.3397668	-79.3666965	ecuador_coastal	wild bird
EPI_ISL_20450101	2023-01-12	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_20450104	2023-01-16	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_20450106	2023-01-19	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_20450113	2023-01-20	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_20450117	2023-02-19	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_20454277	2026-02-22	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_20454278	2026-03-01	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_20454280	2026-03-05	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_20454281	2026-02-26	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_20454282	2026-02-23	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_20454283	2026-02-18	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_20454284	2026-03-03	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_9869760	2021-12-30	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_9876777	2021-12-30	39.7837304	-100.4458820	USA	wild bird
