output_file	date	rule	log-file(s)	status	plan
data/beast/main_panel/pre-alignment/context_taxa.txt	Sat Jun  6 14:36:39 2026	augur_filter_context		ok	update pending
data/beast/main_panel/pre-alignment/augur_include.txt	Sat Jun  6 14:36:39 2026	augur_filter_context		ok	update pending
data/beast/main_panel/pre-alignment/costa_window.audit.tsv	Sat Jun  6 14:36:39 2026	augur_filter_context		ok	update pending
results/pre_beast/rtt_HA/dates_from_headers.tsv	Sat Jun  6 14:36:39 2026	build_treetime_dates_subsets		ok	update pending
metadata/beast/metadata_beast.tsv	Sat Jun  6 14:36:40 2026	build_beast_metadata		ok	update pending
results/phylogeny/flu_mut/flumut_report_markers.tsv	Sat Jun  6 14:36:38 2026	run_flumut		ok	update pending
results/phylogeny/flu_mut/flumut_report_mutations.tsv	Sat Jun  6 14:36:38 2026	run_flumut		ok	update pending
data/phylogeny/flu_mut/flumut_input.fasta	Sat Jun  6 14:36:37 2026	prepare_flumut_fasta		ok	update pending
resources/flumut_update.done	Sat Jun  6 14:36:33 2026	flumut_update_db		ok	update pending
results/beast/GSS/strict_const/run.done	Mon Jun  8 03:06:08 2026	run_beast_single		ok	update pending
results/beast/GSS/strict_const/xml_params.json	Mon Jun  8 03:06:06 2026	update_beast_xml_params		ok	update pending
results/beast/GSS/strict_exp/run.done	Mon Jun  8 03:06:06 2026	run_beast_single		ok	update pending
results/beast/GSS/strict_exp/xml_params.json	Mon Jun  8 03:06:05 2026	update_beast_xml_params		ok	update pending
results/beast/GSS/strict_bay/run.done	Mon Jun  8 03:06:09 2026	run_beast_single		ok	update pending
results/beast/GSS/strict_bay/xml_params.json	Mon Jun  8 03:06:07 2026	update_beast_xml_params		ok	update pending
results/beast/GSS/ucln_const/run.done	Mon Jun  8 03:06:07 2026	run_beast_single		ok	update pending
results/beast/GSS/ucln_const/xml_params.json	Mon Jun  8 03:06:05 2026	update_beast_xml_params		ok	update pending
results/beast/GSS/ucln_exp/run.done	Mon Jun  8 09:19:27 2026	run_beast_single		ok	update pending
results/beast/GSS/ucln_exp/xml_params.json	Mon Jun  8 03:06:07 2026	update_beast_xml_params		ok	update pending
results/beast/GSS/ucln_bay/run.done	Mon Jun  8 03:06:07 2026	run_beast_single		ok	update pending
results/beast/GSS/ucln_bay/xml_params.json	Mon Jun  8 03:06:05 2026	update_beast_xml_params		ok	update pending
results/beast/GSS/model_selection.csv	Thu Jun 11 11:57:41 2026	extract_gss_mle		ok	update pending
